"Sign In", "Вход"
"Create an Account", "Регистрация"
"Search entire store here...", "Поиск по названию, коду, категории товара"
"My Wish List", "Избранное"
"My Cart", "Корзина"
"Compare Products", "Сравнение"
"All Categories", "Каталог товаров"
"Home", "Главная"
"Out of stock", "Нет в наличии"
"Notify me when this product is in stock", "Сообщить о поступлении"
"Add to Compare", "Сравнить"
"Share", "Поделиться"
"sku", "Код товара"
"In stock", "В наличии"
"Related Products", "Похожие товары"
"More Information", "Характеристики"
"Details", "Описание"
"product specifications", "Характеристики товара"
"Open", "Показать все характеристики"
"Hide", "Свернуть"
"Description products", "Описание товара"
"Open deskription", "Подробнее"
"Reviews", "Отзывы"
"Rating Title", "Оценка"
"advantages", "Достоинства:"
"advantages-text", "хорошая батарея, и вообще неплохой смартфон"
"disadvantages", "Недостатки:"
"disadvantages-text", "не обнаружены"
"Click Here", "Оставить отзыв"
"Your Rating", "Ваш Рейтинг"
"Nickname", "Имя"
"Summary", "Оставить отзыв"
"Submit Review", "Отправить"
"Reply", "Ответ"
"answer", "Ответить"
"Was this review helpful to you?", "Был ли вам полезен этот отзыв"
"show all review", "Показать все отзывы"
"Recently Viewed", "Вы просматривали"
"out of stock", "Зкаончился"
"stock", "В наличии"
"uah", "грн"
"Add To Cart", "Купить"
"Review", "Отзыва"
"alert of stock", "Сообщить о поступлении"
"all recent product", "Все просмотренные товары"
